in s,C2 in V
-5.982336E-04,-1.22070E-04
-5.982240E-04,-7.08008E-04
-5.982144E-04,2.44141E-05
-5.982048E-04,3.17383E-04
-5.981952E-04,2.68555E-04
-5.981856E-04,-4.63867E-04
-5.981760E-04,-5.12695E-04
-5.981664E-04,-7.08008E-04
-5.981568E-04,1.70898E-04
-5.981472E-04,3.66211E-04
-5.981376E-04,1.04980E-03
-5.981280E-04,1.19629E-03
-5.981184E-04,3.66211E-04
-5.981088E-04,-2.19727E-04
-5.980992E-04,-5.61523E-04
-5.980896E-04,-7.56836E-04
-5.980800E-04,-1.70898E-04
-5.980704E-04,-2.44141E-05
-5.980608E-04,3.17383E-04
-5.980512E-04,2.68555E-04
-5.980416E-04,5.12695E-04
-5.980320E-04,3.66211E-04
-5.980224E-04,2.19727E-04
-5.980128E-04,3.17383E-04
-5.980032E-04,2.19727E-04
-5.979936E-04,2.19727E-04
-5.979840E-04,-3.66211E-04
-5.979744E-04,-9.03320E-04
-5.979648E-04,-3.17383E-04
-5.979552E-04,2.44141E-05
-5.979456E-04,6.59180E-04
-5.979360E-04,6.10352E-04
-5.979264E-04,1.70898E-04
-5.979168E-04,-4.15039E-04
-5.979072E-04,-6.10352E-04
-5.978976E-04,-7.08008E-04
-5.978880E-04,-2.44141E-05
-5.978784E-04,7.56836E-04
-5.978688E-04,9.03320E-04
-5.978592E-04,6.59180E-04
-5.978496E-04,3.17383E-04
-5.978400E-04,-3.17383E-04
-5.978304E-04,-4.15039E-04
-5.978208E-04,-4.15039E-04
-5.978112E-04,2.44141E-05
-5.978016E-04,2.19727E-04
-5.977920E-04,2.44141E-05
-5.977824E-04,-1.22070E-04
-5.977728E-04,2.44141E-05
-5.977632E-04,-1.22070E-04
-5.977536E-04,2.44141E-05
-5.977440E-04,1.70898E-04
-5.977344E-04,7.32422E-05
-5.977248E-04,-5.12695E-04
-5.977152E-04,-5.61523E-04
-5.977056E-04,-7.08008E-04
-5.976960E-04,-3.17383E-04
-5.976864E-04,-1.70898E-04
-5.976768E-04,-2.44141E-05
-5.976672E-04,-1.70898E-04
-5.976576E-04,2.44141E-05
-5.976480E-04,-6.10352E-04
-5.976384E-04,-1.70898E-04
-5.976288E-04,-1.22070E-04
-5.976192E-04,2.68555E-04
-5.976096E-04,1.70898E-04
-5.976000E-04,-2.44141E-05
-5.975904E-04,-4.63867E-04
-5.975808E-04,-3.17383E-04
-5.975712E-04,-1.70898E-04
-5.975616E-04,3.17383E-04
-5.975520E-04,5.12695E-04
-5.975424E-04,5.61523E-04
-5.975328E-04,-1.22070E-04
-5.975232E-04,-3.17383E-04
-5.975136E-04,-4.15039E-04
-5.975040E-04,-7.32422E-05
-5.974944E-04,-2.44141E-05
-5.974848E-04,2.44141E-05
-5.974752E-04,-3.17383E-04
-5.974656E-04,-3.66211E-04
-5.974560E-04,-8.05664E-04
-5.974464E-04,-4.15039E-04
-5.974368E-04,-4.63867E-04
-5.974272E-04,7.32422E-05
-5.974176E-04,-2.44141E-05
-5.974080E-04,1.70898E-04
-5.973984E-04,-3.66211E-04
-5.973888E-04,-2.19727E-04
-5.973792E-04,-4.15039E-04
-5.973696E-04,-1.70898E-04
-5.973600E-04,2.44141E-05
-5.973504E-04,-2.44141E-05
-5.973408E-04,-5.61523E-04
-5.973312E-04,-2.44141E-05
-5.973216E-04,-4.63867E-04
-5.973120E-04,-2.44141E-05
-5.973024E-04,-1.22070E-04
-5.972928E-04,7.32422E-05
-5.972832E-04,-4.15039E-04
-5.972736E-04,-2.19727E-04
-5.972640E-04,-7.08008E-04
-5.972544E-04,-3.17383E-04
-5.972448E-04,-2.44141E-05
-5.972352E-04,2.44141E-05
-5.972256E-04,-1.22070E-04
-5.972160E-04,-5.12695E-04
-5.972064E-04,-1.19629E-03
-5.971968E-04,-1.14746E-03
-5.971872E-04,-8.05664E-04
-5.971776E-04,-1.22070E-04
-5.971680E-04,2.44141E-05
-5.971584E-04,4.15039E-04
-5.971488E-04,-2.44141E-05
-5.971392E-04,-1.70898E-04
-5.971296E-04,-8.05664E-04
-5.971200E-04,-8.54492E-04
-5.971104E-04,-7.08008E-04
-5.971008E-04,-1.22070E-04
-5.970912E-04,-1.70898E-04
-5.970816E-04,1.70898E-04
-5.970720E-04,4.15039E-04
-5.970624E-04,3.66211E-04
-5.970528E-04,-1.70898E-04
-5.970432E-04,-4.63867E-04
-5.970336E-04,-8.54492E-04
-5.970240E-04,-9.03320E-04
-5.970144E-04,-1.14746E-03
-5.970048E-04,-4.15039E-04
-5.969952E-04,-2.19727E-04
-5.969856E-04,2.19727E-04
-5.969760E-04,4.63867E-04
-5.969664E-04,2.68555E-04
-5.969568E-04,-5.61523E-04
-5.969472E-04,-6.10352E-04
-5.969376E-04,-6.10352E-04
-5.969280E-04,2.44141E-05
