in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-8.126E+01,-1.043E+02,5.000E+00
2.00E+00,1.023E+01,-7.789E+01,-1.179E+02,5.000E+00
3.00E+00,1.047E+01,-8.003E+01,-1.052E+02,5.000E+00
4.00E+00,1.072E+01,-7.872E+01,-1.101E+02,5.000E+00
5.00E+00,1.096E+01,-7.882E+01,-1.014E+02,5.000E+00
6.00E+00,1.122E+01,-7.740E+01,-1.005E+02,5.000E+00
7.00E+00,1.148E+01,-7.762E+01,-1.165E+02,5.000E+00
8.00E+00,1.175E+01,-7.865E+01,-1.121E+02,5.000E+00
9.00E+00,1.202E+01,-7.829E+01,-1.068E+02,5.000E+00
1.00E+01,1.230E+01,-7.774E+01,-1.176E+02,5.000E+00
1.10E+01,1.259E+01,-7.653E+01,-1.109E+02,5.000E+00
1.20E+01,1.288E+01,-7.703E+01,-1.041E+02,5.000E+00
1.30E+01,1.318E+01,-7.837E+01,-1.042E+02,5.000E+00
1.40E+01,1.349E+01,-7.529E+01,-1.000E+02,5.000E+00
1.50E+01,1.380E+01,-7.687E+01,-1.040E+02,5.000E+00
1.60E+01,1.413E+01,-7.825E+01,-1.037E+02,5.000E+00
1.70E+01,1.445E+01,-7.754E+01,-1.020E+02,5.000E+00
1.80E+01,1.479E+01,-7.658E+01,-9.896E+01,5.000E+00
1.90E+01,1.514E+01,-7.461E+01,-1.079E+02,5.000E+00
2.00E+01,1.549E+01,-7.691E+01,-1.011E+02,5.000E+00
2.10E+01,1.585E+01,-7.596E+01,-1.041E+02,5.000E+00
2.20E+01,1.622E+01,-7.692E+01,-1.057E+02,5.000E+00
2.30E+01,1.660E+01,-7.424E+01,-1.196E+02,5.000E+00
2.40E+01,1.698E+01,-7.483E+01,-1.198E+02,5.000E+00
2.50E+01,1.738E+01,-7.443E+01,-1.030E+02,5.000E+00
2.60E+01,1.778E+01,-7.550E+01,-1.038E+02,5.000E+00
2.70E+01,1.820E+01,-7.652E+01,-1.194E+02,5.000E+00
2.80E+01,1.862E+01,-7.524E+01,-9.881E+01,5.000E+00
2.90E+01,1.905E+01,-7.418E+01,-1.216E+02,5.000E+00
3.00E+01,1.950E+01,-7.480E+01,-1.084E+02,5.000E+00
3.10E+01,1.995E+01,-7.242E+01,-1.146E+02,5.000E+00
3.20E+01,2.042E+01,-7.449E+01,-1.108E+02,5.000E+00
3.30E+01,2.089E+01,-7.398E+01,-1.150E+02,5.000E+00
3.40E+01,2.138E+01,-7.379E+01,-1.176E+02,5.000E+00
3.50E+01,2.188E+01,-7.384E+01,-1.146E+02,5.000E+00
3.60E+01,2.239E+01,-7.441E+01,-1.093E+02,5.000E+00
3.70E+01,2.291E+01,-7.334E+01,-1.131E+02,5.000E+00
3.80E+01,2.344E+01,-7.258E+01,-1.177E+02,5.000E+00
3.90E+01,2.399E+01,-7.228E+01,-1.215E+02,5.000E+00
4.00E+01,2.455E+01,-7.313E+01,-1.164E+02,5.000E+00
4.10E+01,2.512E+01,-7.325E+01,-1.172E+02,5.000E+00
4.20E+01,2.570E+01,-7.204E+01,-1.245E+02,5.000E+00
4.30E+01,2.630E+01,-7.229E+01,-1.171E+02,5.000E+00
4.40E+01,2.692E+01,-7.109E+01,-1.163E+02,5.000E+00
4.50E+01,2.754E+01,-7.237E+01,-1.119E+02,5.000E+00
4.60E+01,2.818E+01,-7.216E+01,-1.189E+02,5.000E+00
4.70E+01,2.884E+01,-7.219E+01,-1.213E+02,5.000E+00
4.80E+01,2.951E+01,-7.171E+01,-1.202E+02,5.000E+00
4.90E+01,3.020E+01,-7.176E+01,-1.167E+02,5.000E+00
5.00E+01,3.090E+01,-7.112E+01,-1.190E+02,5.000E+00
5.10E+01,3.162E+01,-7.053E+01,-1.145E+02,5.000E+00
5.20E+01,3.236E+01,-7.099E+01,-1.210E+02,5.000E+00
5.30E+01,3.311E+01,-7.052E+01,-1.176E+02,5.000E+00
5.40E+01,3.388E+01,-7.141E+01,-1.127E+02,5.000E+00
5.50E+01,3.467E+01,-7.112E+01,-1.250E+02,5.000E+00
5.60E+01,3.548E+01,-6.993E+01,-1.210E+02,5.000E+00
5.70E+01,3.631E+01,-7.056E+01,-1.207E+02,5.000E+00
5.80E+01,3.715E+01,-7.006E+01,-1.250E+02,5.000E+00
5.90E+01,3.802E+01,-7.071E+01,-1.183E+02,5.000E+00
6.00E+01,3.890E+01,-6.988E+01,-1.160E+02,5.000E+00
6.10E+01,3.981E+01,-6.965E+01,-1.236E+02,5.000E+00
6.20E+01,4.074E+01,-6.969E+01,-1.279E+02,5.000E+00
6.30E+01,4.169E+01,-7.041E+01,-1.206E+02,5.000E+00
6.40E+01,4.266E+01,-6.831E+01,-1.237E+02,5.000E+00
6.50E+01,4.365E+01,-6.931E+01,-1.134E+02,5.000E+00
6.60E+01,4.467E+01,-6.782E+01,-1.184E+02,5.000E+00
6.70E+01,4.571E+01,-7.006E+01,-1.206E+02,5.000E+00
6.80E+01,4.677E+01,-6.962E+01,-1.212E+02,5.000E+00
6.90E+01,4.786E+01,-6.858E+01,-1.334E+02,5.000E+00
7.00E+01,4.898E+01,-6.949E+01,-1.199E+02,5.000E+00
7.10E+01,5.012E+01,-6.807E+01,-1.314E+02,5.000E+00
7.20E+01,5.129E+01,-6.744E+01,-1.290E+02,5.000E+00
7.30E+01,5.248E+01,-6.904E+01,-1.216E+02,5.000E+00
7.40E+01,5.370E+01,-6.705E+01,-1.233E+02,5.000E+00
7.50E+01,5.495E+01,-6.833E+01,-1.341E+02,5.000E+00
7.60E+01,5.623E+01,-6.740E+01,-1.341E+02,5.000E+00
7.70E+01,5.754E+01,-6.754E+01,-1.236E+02,5.000E+00
7.80E+01,5.888E+01,-6.678E+01,-1.266E+02,5.000E+00
7.90E+01,6.026E+01,-6.673E+01,-1.283E+02,5.000E+00
8.00E+01,6.166E+01,-6.678E+01,-1.240E+02,5.000E+00
8.10E+01,6.310E+01,-6.813E+01,-1.315E+02,5.000E+00
8.20E+01,6.457E+01,-6.628E+01,-1.307E+02,5.000E+00
8.30E+01,6.607E+01,-6.698E+01,-1.340E+02,5.000E+00
8.40E+01,6.761E+01,-6.774E+01,-1.315E+02,5.000E+00
8.50E+01,6.918E+01,-6.632E+01,-1.290E+02,5.000E+00
8.60E+01,7.079E+01,-6.694E+01,-1.344E+02,5.000E+00
8.70E+01,7.244E+01,-6.661E+01,-1.280E+02,5.000E+00
8.80E+01,7.413E+01,-6.695E+01,-1.323E+02,5.000E+00
8.90E+01,7.586E+01,-6.615E+01,-1.326E+02,5.000E+00
9.00E+01,7.762E+01,-6.674E+01,-1.349E+02,5.000E+00
9.10E+01,7.943E+01,-6.678E+01,-1.334E+02,5.000E+00
