Sensor,Time,ADC_readings,Frequency,Magnitude,DC_offset
1,0,0,0,0.00754612214157166,0
1,0.00048661800486618,0,2.0068359375,0.0279027492829079,NaN
1,0.00097323600973236,0,4.013671875,0.0165675514722951,NaN
1,0.00145985401459854,0,6.0205078125,0.072179604412822,NaN
1,0.00194647201946472,0,8.02734375,0.0959678640499881,NaN
1,0.0024330900243309,0,10.0341796875,0.0648644805498604,NaN
1,0.00291970802919708,0,12.041015625,0.00835266201988464,NaN
1,0.00340632603406326,0,14.0478515625,0.0404874310889138,NaN
1,0.00389294403892944,0,16.0546875,0.0285165543118687,NaN
1,0.00437956204379562,0,18.0615234375,0.02328707537598,NaN
1,0.0048661800486618,0,20.068359375,0.0322429784423517,NaN
1,0.00535279805352798,0,22.0751953125,0.019978332224413,NaN
1,0.00583941605839416,0,24.08203125,0.0448540084581238,NaN
1,0.00632603406326034,0,26.0888671875,0.0438815807362059,NaN
1,0.00681265206812652,0,28.095703125,0.0396592918200961,NaN
1,0.0072992700729927,0,30.1025390625,0.0262377368427422,NaN
1,0.00778588807785888,0,32.109375,0.0460730241400094,NaN
1,0.00827250608272506,0,34.1162109375,0.0305268725971859,NaN
1,0.00875912408759124,0,36.123046875,0.0269875993646177,NaN
1,0.00924574209245742,0,38.1298828125,0.0434584039123403,NaN
1,0.0097323600973236,0,40.13671875,0.0534450977231985,NaN
1,0.0102189781021898,0,42.1435546875,0.0431751759782426,NaN
1,0.010705596107056,0,44.150390625,0.0274540309142556,NaN
1,0.0111922141119221,0,46.1572265625,0.0127224474450446,NaN
1,0.0116788321167883,0,48.1640625,0.0254041753116637,NaN
1,0.0121654501216545,0,50.1708984375,0.053840973998105,NaN
1,0.0126520681265207,0,52.177734375,0.04917498346608,NaN
1,0.0131386861313869,0,54.1845703125,0.0394971870295363,NaN
1,0.013625304136253,0,56.19140625,0.0240826824125514,NaN
1,0.0141119221411192,0,58.1982421875,0.0496020107276347,NaN
1,0.0145985401459854,0,60.205078125,0.0155828303791028,NaN
1,0.0150851581508516,0,62.2119140625,0.0610836359173446,NaN
1,0.0155717761557178,0,64.21875,0.0324804352248451,NaN
1,0.0160583941605839,0,66.2255859375,0.050967673480558,NaN
1,0.0165450121654501,0,68.232421875,0.0377065902274091,NaN
1,0.0170316301703163,0,70.2392578125,0.0193000490842416,NaN
