in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-5.900E+01,-6.923E+01,5.000E+00
2.00E+00,1.012E+01,-5.847E+01,-8.212E+01,5.000E+00
3.00E+00,1.023E+01,-5.709E+01,-7.772E+01,5.000E+00
4.00E+00,1.035E+01,-5.839E+01,-6.807E+01,5.000E+00
5.00E+00,1.047E+01,-5.665E+01,-8.586E+01,5.000E+00
6.00E+00,1.059E+01,-5.778E+01,-8.093E+01,5.000E+00
7.00E+00,1.072E+01,-5.685E+01,-8.395E+01,5.000E+00
8.00E+00,1.084E+01,-5.853E+01,-7.670E+01,5.000E+00
9.00E+00,1.096E+01,-5.883E+01,-8.201E+01,5.000E+00
1.00E+01,1.109E+01,-5.769E+01,-8.577E+01,5.000E+00
1.10E+01,1.122E+01,-5.603E+01,-8.442E+01,5.000E+00
1.20E+01,1.135E+01,-5.578E+01,-8.377E+01,5.000E+00
1.30E+01,1.148E+01,-5.705E+01,-7.655E+01,5.000E+00
1.40E+01,1.161E+01,-5.650E+01,-8.189E+01,5.000E+00
1.50E+01,1.175E+01,-5.639E+01,-8.523E+01,5.000E+00
1.60E+01,1.189E+01,-5.514E+01,-9.952E+01,5.000E+00
1.70E+01,1.202E+01,-5.541E+01,-7.333E+01,5.000E+00
1.80E+01,1.216E+01,-5.596E+01,-8.584E+01,5.000E+00
1.90E+01,1.230E+01,-5.574E+01,-9.327E+01,5.000E+00
2.00E+01,1.245E+01,-5.483E+01,-9.281E+01,5.000E+00
2.10E+01,1.259E+01,-5.399E+01,-9.553E+01,5.000E+00
2.20E+01,1.274E+01,-5.555E+01,-8.581E+01,5.000E+00
2.30E+01,1.288E+01,-5.461E+01,-9.466E+01,5.000E+00
2.40E+01,1.303E+01,-5.537E+01,-9.412E+01,5.000E+00
2.50E+01,1.318E+01,-5.381E+01,-1.010E+02,5.000E+00
2.60E+01,1.334E+01,-5.418E+01,-9.357E+01,5.000E+00
2.70E+01,1.349E+01,-5.422E+01,-8.519E+01,5.000E+00
2.80E+01,1.365E+01,-5.499E+01,-9.370E+01,5.000E+00
2.90E+01,1.380E+01,-5.474E+01,-9.595E+01,5.000E+00
3.00E+01,1.396E+01,-5.423E+01,-9.455E+01,5.000E+00
3.10E+01,1.413E+01,-5.444E+01,-9.099E+01,5.000E+00
3.20E+01,1.429E+01,-5.398E+01,-9.835E+01,5.000E+00
3.30E+01,1.445E+01,-5.394E+01,-9.352E+01,5.000E+00
3.40E+01,1.462E+01,-5.372E+01,-9.683E+01,5.000E+00
3.50E+01,1.479E+01,-5.511E+01,-1.032E+02,5.000E+00
3.60E+01,1.496E+01,-5.394E+01,-1.009E+02,5.000E+00
3.70E+01,1.514E+01,-5.432E+01,-9.067E+01,5.000E+00
3.80E+01,1.531E+01,-5.382E+01,-1.048E+02,5.000E+00
3.90E+01,1.549E+01,-5.383E+01,-9.784E+01,5.000E+00
4.00E+01,1.567E+01,-5.310E+01,-9.105E+01,5.000E+00
4.10E+01,1.585E+01,-5.218E+01,-9.997E+01,5.000E+00
4.20E+01,1.603E+01,-5.174E+01,-9.491E+01,5.000E+00
4.30E+01,1.622E+01,-5.409E+01,-9.783E+01,5.000E+00
4.40E+01,1.641E+01,-5.369E+01,-1.030E+02,5.000E+00
4.50E+01,1.660E+01,-5.187E+01,-9.627E+01,5.000E+00
4.60E+01,1.679E+01,-5.287E+01,-9.494E+01,5.000E+00
4.70E+01,1.698E+01,-5.176E+01,-1.096E+02,5.000E+00
4.80E+01,1.718E+01,-5.099E+01,-1.064E+02,5.000E+00
4.90E+01,1.738E+01,-5.201E+01,-1.060E+02,5.000E+00
5.00E+01,1.758E+01,-5.268E+01,-1.034E+02,5.000E+00
5.10E+01,1.778E+01,-5.269E+01,-1.079E+02,5.000E+00
5.20E+01,1.799E+01,-5.155E+01,-1.030E+02,5.000E+00
5.30E+01,1.820E+01,-5.178E+01,-9.822E+01,5.000E+00
5.40E+01,1.841E+01,-5.247E+01,-9.716E+01,5.000E+00
5.50E+01,1.862E+01,-5.108E+01,-1.032E+02,5.000E+00
5.60E+01,1.884E+01,-5.112E+01,-1.011E+02,5.000E+00
5.70E+01,1.905E+01,-5.155E+01,-1.073E+02,5.000E+00
5.80E+01,1.928E+01,-5.035E+01,-1.036E+02,5.000E+00
5.90E+01,1.950E+01,-5.117E+01,-1.117E+02,5.000E+00
