in s,C1 in V
-1.1968188E-02,3.659821E-01
-1.1968004E-02,3.676605E-01
-1.1967820E-02,3.728485E-01
-1.1967636E-02,3.759003E-01
-1.1967452E-02,3.801727E-01
-1.1967268E-02,3.827667E-01
-1.1967084E-02,3.855133E-01
-1.1966900E-02,3.850555E-01
-1.1966716E-02,3.916168E-01
-1.1966532E-02,3.936005E-01
-1.1966348E-02,3.978729E-01
-1.1966164E-02,3.984833E-01
-1.1965980E-02,4.016876E-01
-1.1965796E-02,4.064178E-01
-1.1965612E-02,4.074860E-01
-1.1965428E-02,4.079437E-01
-1.1965244E-02,4.117584E-01
-1.1965060E-02,4.186249E-01
-1.1964876E-02,4.186249E-01
-1.1964692E-02,4.192352E-01
-1.1964508E-02,4.216766E-01
-1.1964324E-02,4.257965E-01
-1.1964140E-02,4.293060E-01
-1.1963956E-02,4.329681E-01
-1.1963772E-02,4.349518E-01
-1.1963588E-02,4.386139E-01
-1.1963404E-02,4.415131E-01
-1.1963220E-02,4.424286E-01
-1.1963036E-02,4.476166E-01
-1.1962852E-02,4.491425E-01
-1.1962668E-02,4.517365E-01
-1.1962484E-02,4.546356E-01
-1.1962300E-02,4.575348E-01
-1.1962116E-02,4.590607E-01
-1.1961932E-02,4.619598E-01
-1.1961748E-02,4.665375E-01
-1.1961564E-02,4.703522E-01
-1.1961380E-02,4.718781E-01
-1.1961196E-02,4.738617E-01
-1.1961012E-02,4.781342E-01
-1.1960828E-02,4.822540E-01
-1.1960644E-02,4.837799E-01
-1.1960460E-02,4.866791E-01
-1.1960276E-02,4.886627E-01
-1.1960092E-02,4.915619E-01
-1.1959908E-02,4.926300E-01
-1.1959724E-02,4.959869E-01
-1.1959540E-02,5.005646E-01
-1.1959356E-02,5.030060E-01
-1.1959172E-02,5.048370E-01
-1.1958988E-02,5.072784E-01
-1.1958804E-02,5.130768E-01
-1.1958620E-02,5.156708E-01
-1.1958436E-02,5.156708E-01
-1.1958252E-02,5.211639E-01
-1.1958068E-02,5.214691E-01
-1.1957884E-02,5.269623E-01
-1.1957700E-02,5.292511E-01
-1.1957516E-02,5.323029E-01
-1.1957332E-02,5.342865E-01
-1.1957148E-02,5.391693E-01
-1.1956964E-02,5.435944E-01
-1.1956780E-02,5.443573E-01
-1.1956596E-02,5.472565E-01
-1.1956412E-02,5.509186E-01
-1.1956228E-02,5.513763E-01
-1.1956044E-02,5.542755E-01
-1.1955860E-02,5.585480E-01
-1.1955676E-02,5.603790E-01
-1.1955492E-02,5.619049E-01
-1.1955308E-02,5.673981E-01
-1.1955124E-02,5.687714E-01
-1.1954940E-02,5.727386E-01
-1.1954756E-02,5.736542E-01
-1.1954572E-02,5.762482E-01
-1.1954388E-02,5.814362E-01
-1.1954204E-02,5.835724E-01
-1.1954020E-02,5.837250E-01
-1.1953836E-02,5.898285E-01
-1.1953652E-02,5.908966E-01
-1.1953468E-02,5.954742E-01
-1.1953284E-02,5.979156E-01
-1.1953100E-02,5.988312E-01
-1.1952916E-02,6.035614E-01
-1.1952732E-02,6.067657E-01
-1.1952548E-02,6.089020E-01
-1.1952364E-02,6.116486E-01
-1.1952180E-02,6.143951E-01
-1.1951996E-02,6.191254E-01
-1.1951812E-02,6.200409E-01
-1.1951628E-02,6.214142E-01
-1.1951444E-02,6.264496E-01
-1.1951260E-02,6.288910E-01
-1.1951076E-02,6.319427E-01
-1.1950892E-02,6.313324E-01
-1.1950708E-02,6.398773E-01
-1.1950524E-02,6.397247E-01
-1.1950340E-02,6.429291E-01
-1.1950156E-02,6.446075E-01
-1.1949972E-02,6.490326E-01
-1.1949788E-02,6.505585E-01
-1.1949604E-02,6.549835E-01
-1.1949420E-02,6.548309E-01
-1.1949236E-02,6.566620E-01
-1.1949052E-02,6.601715E-01
-1.1948868E-02,6.632233E-01
-1.1948684E-02,6.659698E-01
-1.1948500E-02,6.694794E-01
-1.1948316E-02,6.711578E-01
-1.1948132E-02,6.746674E-01
-1.1947948E-02,6.778717E-01
-1.1947764E-02,6.797028E-01
-1.1947580E-02,6.826019E-01
-1.1947396E-02,6.853485E-01
-1.1947212E-02,6.855011E-01
-1.1947028E-02,6.938934E-01
-1.1946844E-02,6.963348E-01
-1.1946660E-02,6.995392E-01
-1.1946476E-02,6.990814E-01
-1.1946292E-02,7.030487E-01
-1.1946108E-02,7.019806E-01
-1.1945924E-02,7.088470E-01
-1.1945740E-02,7.123566E-01
-1.1945556E-02,7.152557E-01
-1.1945372E-02,7.186127E-01
-1.1945188E-02,7.205963E-01
-1.1945004E-02,7.224274E-01
-1.1944820E-02,7.254791E-01
-1.1944636E-02,7.299042E-01
-1.1944452E-02,7.297516E-01
-1.1944268E-02,7.344818E-01
-1.1944084E-02,7.363129E-01
-1.1943900E-02,7.376862E-01
-1.1943716E-02,7.411957E-01
-1.1943532E-02,7.454681E-01
-1.1943348E-02,7.469940E-01
-1.1943164E-02,7.532501E-01
-1.1942980E-02,7.527924E-01
-1.1942796E-02,7.563019E-01
-1.1942612E-02,7.588959E-01
-1.1942428E-02,7.604218E-01
-1.1942244E-02,7.617950E-01
-1.1942060E-02,7.669830E-01
-1.1941876E-02,7.689667E-01
-1.1941692E-02,7.729340E-01
-1.1941508E-02,7.730865E-01
-1.1941324E-02,7.787323E-01
-1.1941140E-02,7.828522E-01
-1.1940956E-02,7.843781E-01
-1.1940772E-02,7.869720E-01
-1.1940588E-02,7.906342E-01
-1.1940404E-02,7.935333E-01
-1.1940220E-02,7.961273E-01
-1.1940036E-02,7.984161E-01
-1.1939852E-02,8.011627E-01
-1.1939668E-02,8.039093E-01
-1.1939484E-02,8.083344E-01
-1.1939300E-02,8.089447E-01
-1.1939116E-02,8.124542E-01
-1.1938932E-02,8.135223E-01
-1.1938748E-02,8.158112E-01
-1.1938564E-02,8.188629E-01
-1.1938380E-02,8.228302E-01
-1.1938196E-02,8.257294E-01
-1.1938012E-02,8.278656E-01
-1.1937828E-02,8.298492E-01
-1.1937644E-02,8.325958E-01
-1.1937460E-02,8.373260E-01
-1.1937276E-02,8.402252E-01
-1.1937092E-02,8.414459E-01
-1.1936908E-02,8.432770E-01
-1.1936724E-02,8.480072E-01
-1.1936540E-02,8.519745E-01
-1.1936356E-02,8.509064E-01
-1.1936172E-02,8.545685E-01
-1.1935988E-02,8.597565E-01
-1.1935804E-02,8.608246E-01
-1.1935620E-02,8.638763E-01
-1.1935436E-02,8.676910E-01
-1.1935252E-02,8.660126E-01
-1.1935068E-02,8.713531E-01
-1.1934884E-02,8.716583E-01
-1.1934700E-02,8.789825E-01
-1.1934516E-02,8.818817E-01
-1.1934332E-02,8.814240E-01
-1.1934148E-02,8.847809E-01
-1.1933964E-02,8.889008E-01
-1.1933780E-02,8.910370E-01
-1.1933596E-02,8.945465E-01
-1.1933412E-02,8.971405E-01
-1.1933228E-02,8.975983E-01
-1.1933044E-02,9.017181E-01
-1.1932860E-02,9.041595E-01
-1.1932676E-02,9.052277E-01
-1.1932492E-02,9.078217E-01
-1.1932308E-02,9.119415E-01
-1.1932124E-02,9.146881E-01
-1.1931940E-02,9.178925E-01
-1.1931756E-02,9.185028E-01
-1.1931572E-02,9.207916E-01
-1.1931388E-02,9.243011E-01
-1.1931204E-02,9.275055E-01
-1.1931020E-02,9.299469E-01
-1.1930836E-02,9.333038E-01
-1.1930652E-02,9.362030E-01
-1.1930468E-02,9.389496E-01
-1.1930284E-02,9.416962E-01
-1.1930100E-02,9.432220E-01
-1.1929916E-02,9.481049E-01
-1.1929732E-02,9.474945E-01
-1.1929548E-02,9.529877E-01
-1.1929364E-02,9.539032E-01
-1.1929180E-02,9.560394E-01
-1.1928996E-02,9.597015E-01
-1.1928812E-02,9.624481E-01
-1.1928628E-02,9.638214E-01
-1.1928444E-02,9.665680E-01
-1.1928260E-02,9.680939E-01
-1.1928076E-02,9.717560E-01
-1.1927892E-02,9.766388E-01
-1.1927708E-02,9.789276E-01
-1.1927524E-02,9.804535E-01
-1.1927340E-02,9.842682E-01
-1.1927156E-02,9.868622E-01
-1.1926972E-02,9.902191E-01
-1.1926788E-02,9.903717E-01
-1.1926604E-02,9.952545E-01
-1.1926420E-02,9.949493E-01
-1.1926236E-02,1.000137E+00
-1.1926052E-02,1.000900E+00
-1.1925868E-02,1.002884E+00
-1.1925684E-02,1.008072E+00
-1.1925500E-02,1.007156E+00
-1.1925316E-02,1.012497E+00
-1.1925132E-02,1.015091E+00
-1.1924948E-02,1.017990E+00
-1.1924764E-02,1.020279E+00
-1.1924580E-02,1.020126E+00
-1.1924396E-02,1.025162E+00
-1.1924212E-02,1.028214E+00
-1.1924028E-02,1.030045E+00
-1.1923844E-02,1.033554E+00
-1.1923660E-02,1.038589E+00
-1.1923476E-02,1.038437E+00
-1.1923292E-02,1.041794E+00
-1.1923108E-02,1.045456E+00
-1.1922924E-02,1.045456E+00
-1.1922740E-02,1.049423E+00
-1.1922556E-02,1.051712E+00
-1.1922372E-02,1.055527E+00
-1.1922188E-02,1.056900E+00
-1.1922004E-02,1.061630E+00
-1.1921820E-02,1.062393E+00
-1.1921636E-02,1.065750E+00
-1.1921452E-02,1.067276E+00
-1.1921268E-02,1.069870E+00
