in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-8.049E+01,-1.379E+02,5.000E+00
2.00E+00,1.023E+01,-7.774E+01,-1.356E+02,5.000E+00
3.00E+00,1.047E+01,-8.214E+01,-1.281E+02,5.000E+00
4.00E+00,1.072E+01,-8.147E+01,-1.156E+02,5.000E+00
5.00E+00,1.096E+01,-7.981E+01,-1.267E+02,5.000E+00
6.00E+00,1.122E+01,-8.211E+01,-1.331E+02,5.000E+00
7.00E+00,1.148E+01,-8.093E+01,-1.352E+02,5.000E+00
8.00E+00,1.175E+01,-8.016E+01,-1.265E+02,5.000E+00
9.00E+00,1.202E+01,-7.751E+01,-1.326E+02,5.000E+00
1.00E+01,1.230E+01,-7.930E+01,-1.235E+02,5.000E+00
1.10E+01,1.259E+01,-7.974E+01,-1.302E+02,5.000E+00
1.20E+01,1.288E+01,-7.802E+01,-1.188E+02,5.000E+00
1.30E+01,1.318E+01,-7.763E+01,-1.261E+02,5.000E+00
1.40E+01,1.349E+01,-8.134E+01,-1.121E+02,5.000E+00
1.50E+01,1.380E+01,-7.904E+01,-1.361E+02,5.000E+00
1.60E+01,1.413E+01,-7.904E+01,-1.297E+02,5.000E+00
1.70E+01,1.445E+01,-7.740E+01,-1.330E+02,5.000E+00
1.80E+01,1.479E+01,-7.853E+01,-1.328E+02,5.000E+00
1.90E+01,1.514E+01,-7.885E+01,-1.375E+02,5.000E+00
2.00E+01,1.549E+01,-7.794E+01,-1.475E+02,5.000E+00
2.10E+01,1.585E+01,-7.774E+01,-1.302E+02,5.000E+00
2.20E+01,1.622E+01,-7.876E+01,-1.338E+02,5.000E+00
2.30E+01,1.660E+01,-7.632E+01,-1.320E+02,5.000E+00
2.40E+01,1.698E+01,-7.895E+01,-1.437E+02,5.000E+00
2.50E+01,1.738E+01,-7.797E+01,-1.369E+02,5.000E+00
2.60E+01,1.778E+01,-7.842E+01,-1.391E+02,5.000E+00
2.70E+01,1.820E+01,-7.597E+01,-1.345E+02,5.000E+00
2.80E+01,1.862E+01,-7.597E+01,-1.416E+02,5.000E+00
2.90E+01,1.905E+01,-7.816E+01,-1.333E+02,5.000E+00
3.00E+01,1.950E+01,-7.811E+01,-1.371E+02,5.000E+00
3.10E+01,1.995E+01,-7.786E+01,-1.306E+02,5.000E+00
3.20E+01,2.042E+01,-7.741E+01,-1.360E+02,5.000E+00
3.30E+01,2.089E+01,-7.634E+01,-1.397E+02,5.000E+00
3.40E+01,2.138E+01,-7.681E+01,-1.235E+02,5.000E+00
3.50E+01,2.188E+01,-7.801E+01,-1.334E+02,5.000E+00
3.60E+01,2.239E+01,-7.621E+01,-1.357E+02,5.000E+00
3.70E+01,2.291E+01,-7.884E+01,-1.230E+02,5.000E+00
3.80E+01,2.344E+01,-7.510E+01,-1.276E+02,5.000E+00
3.90E+01,2.399E+01,-7.625E+01,-1.309E+02,5.000E+00
4.00E+01,2.455E+01,-7.728E+01,-1.355E+02,5.000E+00
4.10E+01,2.512E+01,-7.658E+01,-1.366E+02,5.000E+00
4.20E+01,2.570E+01,-7.612E+01,-1.456E+02,5.000E+00
4.30E+01,2.630E+01,-7.743E+01,-1.359E+02,5.000E+00
4.40E+01,2.692E+01,-7.660E+01,-1.407E+02,5.000E+00
4.50E+01,2.754E+01,-7.748E+01,-1.201E+02,5.000E+00
4.60E+01,2.818E+01,-7.668E+01,-1.322E+02,5.000E+00
4.70E+01,2.884E+01,-7.673E+01,-1.341E+02,5.000E+00
4.80E+01,2.951E+01,-7.652E+01,-1.336E+02,5.000E+00
4.90E+01,3.020E+01,-7.665E+01,-1.234E+02,5.000E+00
5.00E+01,3.090E+01,-7.567E+01,-1.345E+02,5.000E+00
5.10E+01,3.162E+01,-7.569E+01,-1.355E+02,5.000E+00
5.20E+01,3.236E+01,-7.439E+01,-1.336E+02,5.000E+00
5.30E+01,3.311E+01,-7.645E+01,-1.329E+02,5.000E+00
5.40E+01,3.388E+01,-7.532E+01,-1.329E+02,5.000E+00
5.50E+01,3.467E+01,-7.623E+01,-1.329E+02,5.000E+00
5.60E+01,3.548E+01,-7.637E+01,-1.330E+02,5.000E+00
5.70E+01,3.631E+01,-7.461E+01,-1.322E+02,5.000E+00
5.80E+01,3.715E+01,-7.492E+01,-1.337E+02,5.000E+00
5.90E+01,3.802E+01,-7.599E+01,-1.255E+02,5.000E+00
6.00E+01,3.890E+01,-7.676E+01,-1.315E+02,5.000E+00
6.10E+01,3.981E+01,-7.360E+01,-1.365E+02,5.000E+00
6.20E+01,4.074E+01,-7.359E+01,-1.549E+02,5.000E+00
6.30E+01,4.169E+01,-7.361E+01,-1.329E+02,5.000E+00
6.40E+01,4.266E+01,-7.483E+01,-1.238E+02,5.000E+00
6.50E+01,4.365E+01,-7.418E+01,-1.425E+02,5.000E+00
6.60E+01,4.467E+01,-7.174E+01,-1.341E+02,5.000E+00
6.70E+01,4.571E+01,-7.310E+01,-1.201E+02,5.000E+00
6.80E+01,4.677E+01,-7.275E+01,-1.183E+02,5.000E+00
6.90E+01,4.786E+01,-7.374E+01,-1.159E+02,5.000E+00
7.00E+01,4.898E+01,-7.203E+01,-1.310E+02,5.000E+00
7.10E+01,5.012E+01,-7.365E+01,-1.472E+02,5.000E+00
7.20E+01,5.129E+01,-7.173E+01,-1.247E+02,5.000E+00
7.30E+01,5.248E+01,-7.176E+01,-1.259E+02,5.000E+00
7.40E+01,5.370E+01,-7.755E+01,-1.294E+02,5.000E+00
7.50E+01,5.495E+01,-7.464E+01,-1.506E+02,5.000E+00
7.60E+01,5.623E+01,-7.148E+01,-1.419E+02,5.000E+00
7.70E+01,5.754E+01,-7.562E+01,-1.224E+02,5.000E+00
7.80E+01,5.888E+01,-7.293E+01,-1.451E+02,5.000E+00
